,match,time,slot,text,target
905,40,3471.11633,6,just erport this jugg,0
909,40,3481.15053,3,counter more,0
920,40,3569.85273,3,counter more,0
945,43,-131.21776,4,come on try harder,0
946,43,456.05534,3,what's happening boyz ?,0
949,43,456.05534,8,he will ,0
952,43,456.05534,3,as you can see we are waiting ,0
954,43,456.05534,3,I am just asking what happened,0
955,43,456.05534,4,and we wait 5 for now ,0
961,43,456.05534,3,how many more x3 mins do we have to wait,0
967,43,456.05534,3,you don't know how time works,0
969,43,456.05534,4,guys i think we wait too much ,0
971,43,456.05534,4,i know its your fr but ,0
975,43,456.05534,3,you will have more gold if he leaves,0
981,43,496.3122,6,Dat was lucky,0
986,43,722.1903,6,that was more lucky than ur kill 😂:D,0
987,43,723.1901,3,now you are lucky,0
994,43,930.2729,6,u see this fair ?,0
1007,45,775.64397,8,report sf and lycan,0
1008,45,803.70377,8,retard take lycan for hard ,1
1009,45,818.30017,8,second rtard lose lane with help,1
1011,45,1219.20227,8,dont forget report lycan and sf,0
1013,45,1233.86537,8,next game can come to yours team,0
1040,48,1101.45449,1,mana shield lvl 1,0
1048,48,2277.95399,5,why so hot headed,0
1051,48,2312.53849,5,just by looking at your set you are pro dude,0
1054,48,2465.29219,7,wever is so sacred,0
1076,51,-26.42688,6,who afk,0
1082,51,682.66664,1,000000000-5   NICE FEDD,0
1086,51,939.97044,1,THIS SK OFF,0
1087,51,946.83544,6,this ES,0
1088,51,953.10064,1,NICE FEDDDD,0
1089,51,978.82764,1,SACRED RELIC SPECTRE  TY  SK,0
1093,51,1025.88284,1,fED FED FED SK ,0
1094,51,1052.87624,1,fED FED ,0
1096,51,1560.71894,5,turn off ur map hacks,0
1115,51,2762.98904,4,REPORT TORO,0
1119,51,2769.61164,2,commend team,0
1140,52,2955.16338,3,21 death,0
1141,52,2961.25088,3,is it olympic games?,0
1150,54,1542.75663,3,wait a lit pl,0
1163,55,1580.31413,1,ff pls,0
1171,56,-20.16175,3,EWND TI,0
1172,56,140.06578,6,WHAT THE ACTUAL FUCK,2
1232,63,1122.42596,9,guys wtf is up,0
1234,63,1122.42596,8,china fire wall ?,0
1257,65,255.87088,7,really?,0
1260,65,1425.71855,7,why me =.=,0
1261,65,1435.91605,0,report sf pleae,0
1266,65,1452.37865,0,report sf pleeaes,0
1272,65,1520.86195,7,that bug,0
1274,65,1533.92545,0,please report sf ,0
1289,66,999.68928,6,ff pls ,0
1301,66,1299.01618,7,bombit,0
1307,66,1315.41218,7,CHMO,0
1328,69,2288.3256,5,commend ty,0
1331,69,2304.6478,4,i will commend u sniper if u commend me too,0
1335,69,2388.1321,8,has gem walked intio bomb ,0
1336,69,2421.7133,7,why run,0
1339,70,518.87333,4,team,0
1342,70,584.79057,4,feed,0
1368,71,-79.0807,2,alright alright,0
1375,71,1172.2138,2,so whats ur new year resolutioin,0
1382,71,1722.9511,7,now he rolls,0
1385,71,1954.2389,9,wombo combo,0
1390,71,2065.9862,7,FUCK THIS PANGO,1
1395,71,2103.9823,7,LOOK AT HIM,0
1399,71,2129.0678,0,comback is real,0
1402,71,2158.4679,7,I WOULD HAVE KILL HIM,0
1437,73,-91.29272,2,report wk,0
1452,75,1463.50932,3,NOOB team,1
1457,75,1604.40822,5,not coming back,0
1476,76,137.36648,4,apparently,0
1478,76,999.95583,4,the white snow,0
1480,76,1406.32323,5,and then,0
1481,76,1412.65503,1,my team,0
1482,76,1416.32083,5,right,0
1487,76,1971.42663,4,right after,0
1490,76,1989.28753,4,exactly,0
1491,76,2839.95183,7,fucking axe retard cunt,1
1507,79,-56.25293,4,happy new year,0
1511,79,1855.4047,7,lag the fuck up,1
1521,81,1700.37842,4,worth?,0
1533,82,1493.39916,5,dat lich 2 kd ratio,0
1539,82,1506.91186,2,then i ded,0
1543,82,1518.15016,5,called storm spirit m9,0
1545,82,1528.71956,2,knife in csgo,0
1546,82,1533.06756,2,im csgo player,0
1559,82,1714.31836,5,Support my ass senpai,1
1560,82,1718.33206,5,Ima out to fuck,1
1562,82,1798.60556,5,2 carries to take down a fukkin support,1
1567,82,1828.84176,5,who u tellin to chill nibba,1
1568,82,1834.46096,5,miss me with that gay shit,1
1573,82,2023.60526,5,but was all,0
1577,82,2086.21856,7,WHO IS BEING A MEME,0
1581,82,2112.84256,4,ur a fucking cunt,1
1584,82,2120.20096,5,called out,0
1586,82,2128.83036,5,How tragic,
1594,82,2162.07686,5,and I am a support,
1598,82,2180.00456,4,by 1?,
1632,83,-56.28626,7,little fairplay rusians shit,1
1633,83,-55.21985,6,well if you remuse it will be uncount map,
1637,83,-23.89418,8,fuck mothers,1
1644,83,139.23266,6,??? lol now pause,
1650,83,139.23266,6,this trash russian,1
1653,83,140.33239,6,why not pause at first ???,
1659,83,141.16552,6,Worst country of the world,1
1662,83,141.16552,6,hey dog russians,1
1663,83,141.16552,6,cant win without cheating ?,
1664,83,141.16552,7,this is west server,
1665,83,141.16552,7,y have rusan and east,
1666,83,142.49852,2,We from Makedonia? ,
1667,83,146.43092,6,russian has their own server,
1672,83,254.40457,6,trash russian,1
1675,83,279.59842,6,Bark sth plz,
1679,83,295.99442,0,hey rat,
1680,83,297.92727,6,is that dog knows only barking ?,1
1681,83,306.72512,0,what does the rat say?,
1682,83,306.92508,6,Did you mother fuck a dog to born you,1
1684,83,313.32352,6,russian tradition ?,
1685,83,317.25589,6,fuck dog to born ?,1
1686,83,328.91972,6,why all russian are so dirty player,
1687,83,342.18312,6,your country shame on you,1
1693,83,404.83452,6,that Russian dog,1
1694,83,434.36062,6,sad this dog ,1
1698,83,480.01612,6,a dog cant bark and no brain,1
1700,83,650.54116,6,Hey BARKKKKKKK,1
1705,83,915.74312,6,Dont kill the dog,1
1706,83,924.87412,6,go fuck yourself xD bye bye dog,1
1725,87,155.29543,7,cant play,0
1727,87,615.6164,5,fuck the game,1
1728,87,697.7963,6,fuck this shit nap team,1
1745,90,2215.4811,5,aw you got a silver edge for me,0
1748,90,2636.9167,1,od apesta chancho,0
1791,91,663.47132,3,reported Viper please,0
1857,94,1574.94873,3,worth itÉ,0
1864,94,2375.39083,1,space created ,0
1865,94,2379.67213,1,creeps outplaying you,0
1886,97,265.16861,7,no cour no wards jungle lc,0
1890,97,276.76576,7,kepp presure and win it fast,0
1893,97,290.09586,8,the fan on low priority,0
1921,99,1265.13583,6,iyot is real,1
1964,100,2441.00198,7,slaid shou ,0
1992,100,2546.86258,9,its took 3 year,0
2013,102,-82.87977,1,"Dota 2, where a 45 minute game takes 90 minutes",0
2016,102,-59.7854,7,that's why they have a turbo now,0
2017,102,-49.48791,1,"25 min of queue, 20 minutes of disconnects, and 45 minutes of game",0
2023,102,-28.22644,7,if he abondoned this game wont count,0
2024,102,-20.89489,8,"lets not forget 30 min of being called noob in russian, korean, and spanish",0
2029,102,989.52503,7,why,0
2030,102,1075.97063,7,fuck this game,1
2031,102,1075.97063,4,oh now you want to pause? ;),
2034,102,1075.97063,0,she didn't wait for enigma,
2040,102,1594.84393,7,EZ TEAM,
2046,102,2047.88663,7,team reported and afk ,0
2056,102,2650.94093,8,"DOTA where everyone is a cunt, regtardless of team",1
2058,102,2779.27793,6,DONT FORGET TO REPORT NAGA,0
2061,103,155.96196,4,o,
2065,103,163.82666,4,o,
2138,107,922.54137,5,small id also pro like that,
2139,107,949.13487,5,i will show u the real sven,
2141,107,1200.14027,5,dun use small id to lie other ppl,
2151,107,1248.26187,0,she so hot,
2158,107,1423.28577,8,its not scored,
2168,107,1601.77557,7,its fat,
2177,108,779.9429,9,she is dead anyway,
2178,108,779.9429,9,lets stop when she is reviving,
2194,109,3186.95548,7,Thank u for the laugh Lads,
2195,109,3189.89878,7,Commend Troll,
2196,109,3192.37398,7,For being a troll,
2198,109,3197.39098,7,Merry Christmas,
2200,109,3214.71678,7,He's autistic,1
2218,111,1832.13853,8,"new meta es, blink for wat",
2219,111,2021.41653,8,"we sure lose, but we never give up, we will def till the end",
2222,111,2156.77763,8,"lol es, blink for wat",
2233,112,616.64945,6,AHDFJOPFDAP]HAFD,
2235,112,617.31596,6,ASDHPJOAHFDJOP][,
2239,112,1185.5772,4,rofl,
2243,112,1197.241,8,know how to zone the lane,
2244,112,1210.5044,4,u dont know how to play,
2252,112,1546.8223,1,which killed me,
2285,112,2077.9576,6,HOW THIS AM,
2300,113,2249.43655,9,check this,
2304,113,2273.05035,9,cry bitch,1
2305,113,2274.12065,2,how top play,
2310,114,2734.36527,1,recomend pliz,
2313,115,403.9014,6,these bashes,
2317,115,605.58547,8,whining in chat,
2318,115,605.7854,5,holy shit,1
2321,115,619.1155,5,these guys,
2338,115,1047.6442,8,Whats wrong?,
2353,115,1830.3988,8,This WK ;),
2357,115,1872.7429,6,their 2 stack was perfect aparently,
2359,115,1881.5061,6,pro tier plays,
2360,115,1884.3826,6,from the offlane,
2361,115,1935.2893,9,boring ass game,
2363,115,1953.4846,8,ez mid and top,
2446,118,12.26366,6,what a player,
2454,118,1629.8353,1,i missed the hill,
2456,118,1854.125,3,rof,
2477,120,-65.41737,3,IDI NAXYU,
2478,120,-64.21766,3,CHERT,
2526,121,-80.45853,1,gotta love to see ur underlord now,
2533,121,-52.25391,4,idk what teals talking abou,
2534,121,-49.52125,7,let the faggot be happy with his imba hero counter,1
2535,121,-49.18799,4,what the fuck,2
2540,121,206.74955,4,did u play earlier,
2543,121,319.78861,7,u actually that fucking bad ursa?,2
2544,121,321.45485,7,or feed?,
2548,121,509.60892,7,do you realize u wont win this game?,
2555,121,555.66435,9,u know that?,
2557,121,559.53005,7,how to change aggro :D,
2559,121,672.76905,4,what the fuck,2
2561,121,695.89675,4,what a world we live in,
2562,121,696.23001,1,nice one,
2564,121,699.16265,1,instead of moving,
2566,121,704.36135,4,MAN URSA IS SUCH A TALKER,
2570,121,830.26395,1,5 death,
2578,121,1144.78715,9,TELL SOMEYHING,
2579,121,1148.38625,9,HOW YOUR ROSH,
2580,121,1154.65145,7,hows your mom ursa?,1
2582,121,1159.18365,1,shes fine,
2583,121,1160.58325,1,how's ur,
2585,121,1171.58055,9,how you feel to loosing second game,
2587,121,1173.18025,7,she just told me about your baby sized dick,1
2591,121,1195.37475,7,she is not 18 yet,
2602,121,1487.47015,7,if something,
2604,121,1489.00305,7,that is sad,
2614,121,1505.59905,9,for teammates,
2617,121,1509.53145,1,u cant win,0
2618,121,1522.86145,1,they really think,
2619,121,1527.26045,1,puck can do anything,
2620,121,1529.72645,1,with his eul's,
2629,121,1669.89225,1,so its ok if u feed,
2636,121,2302.46985,1,winter,
2647,121,2350.46675,1,thats it,
2648,121,2352.33975,9,you are shit,1
2652,121,2360.83545,1,this pa,
2653,121,2361.03605,9,cant win game,
2655,121,2364.91595,9,from free farm,
2660,121,2371.40465,9,now u pick counter vs me,
2664,121,2383.71325,1,u started man,
2666,121,2385.58645,1,this pa,
2667,121,2386.38905,9,whatever,
2670,121,2406.52435,9,whatever,
2671,121,2408.06285,9,be happy,
2672,121,2412.67865,9,dota is all your life,
2673,121,2415.22065,9,you fucking nerd,1
2677,121,2441.24255,1,to win mmr,
2678,121,2443.24945,1,and feels bad,
2680,121,2450.07265,9,whatyever,
2685,121,2457.23045,1,ofc ez,
2686,121,2460.10685,1,u countered me,
2689,123,-35.49132,1,viper whats ur base dm,
2695,123,788.24088,1,1 by 1,
2715,124,-73.04883,1,"any suggest, best porn site?",1
2719,124,-60.052,2,child porn or what ?,1
2727,124,-27.32666,7,or do you want gay porn,1
2745,124,2492.32807,4,mind topo?,
2760,127,59.98534,1,dont first blood me,
2761,127,68.6499,1,aim other party memeber lel,
2769,127,1705.7262,0,gg sry about ur lan internet,
2792,129,1457.36553,0,can u give me bracer back plz,
2795,129,1568.87163,8,but my teammates wont to kill u((9(,
2800,130,1216.63624,8,thx for boot,
2804,130,1870.73694,2,farming lord AM,
2822,131,2108.8632,0,report alche plz,0
2831,131,2278.2402,2,report alche,0
2833,131,2284.3275,3,REPORT ALCHE,0
2837,131,2312.7912,0,report alche plz,0
2873,133,1403.49067,0,who?,
2874,133,1426.95157,5,you know you have a guy at 16-0 ?,
2875,133,1431.88367,5,withh 600 avg gpm,
2876,133,1468.07487,2,what boost lol,
2879,134,247.10634,9,wow i got a kill while 2v1,
2880,134,251.90518,9,must chat all now,
2887,134,840.02824,9,chat all,
2890,134,853.82484,9,music to my ears,
2894,134,3696.68474,9,never chat all at early kids,
3001,139,2172.8915,6,GG was fun,
3010,140,1679.28998,8,acc buyer,
3021,140,2698.25848,2,CARRY U,
3056,141,2356.9722,9,put that wards,
3191,145,1781.13503,5,fuck this team,1
3193,145,1792.26563,1,you guys were winning early game,
3202,146,9.59764,9,at a price of fb,
3214,146,1743.20764,5,scared of one fat guy?,
3226,146,2200.31714,8,you fookin clown magnus,1
3232,147,228.61086,9,YOU SUCK ME COCKY,1
3236,147,456.5219,0,dickhead,1
3239,147,513.8412,8,how are you so high mmr???,
3247,147,1634.6009,7,ancient btw haHAA,
3250,147,1790.1563,8,fiend bad btw haHAA,
3251,147,2338.5242,7,base?,
3252,147,2363.7434,8,you guys know that you need creeps to hit buildings?,
3256,148,718.95778,1,fedeare chato,
3261,148,1125.72508,9,techies matanme ,
3274,148,2018.83148,5,rompan con fe,
3277,148,2119.84218,9,please,
3281,148,2245.47008,9,please,
3302,149,640.61027,0,REPORT MID,0
3305,149,935.87147,0,REPORT ,
3322,149,1691.34407,0,REPORT MID,0
3342,149,2070.70287,4,only that,
3350,149,2100.40407,4,please,
3358,149,2143.21657,0,TU SALIR ,
3372,149,2279.28007,7,SPEC IN THE BAG!,
3376,150,1300.91568,4,techies go kill yourself,0
3380,150,1595.17718,5,please i begging you ,
3385,150,1857.89498,0,techies makes the game boring,
3386,150,1860.83828,0,For everyone but one.,
3440,152,1128.1245,8,and?,
3453,153,323.82093,0,where the fuck is snow,2
3456,153,1042.77873,6,rotated 2 players top,
3457,153,1045.57803,6,and u got to b,
3464,153,1068.23913,1,Nah just other route,
3469,153,1085.23503,0,almost pooped myself xD,
3470,153,1087.90103,0,when u burned mana,
3475,153,1387.79443,8,sf is account buyer ;x,0
3476,153,1388.32763,6,i never seen some1 lose mid that hard with sf,
3478,153,1389.72733,1,Why did you leave Jugger all by himself?,
3483,153,1401.92433,3,was a pleasure 1v4 mid though,
3486,153,1409.05593,3,worked out well,
3491,153,1424.98543,6,when we lost top tower sf was lvl 7,
3502,155,243.70718,9,oh right,
3503,155,248.10611,9,true sight is 100 longer,
3544,159,43.82262,4,why,
3550,160,753.31604,9,sto)p cheat ulty 0 dmg ss stop cheat,
3552,160,772.64464,4,switch off my cheats,
3556,160,1609.17374,8,playing with noob,1
3557,160,1612.63954,9,0reaction team 0 def team 0 info team pls ff enmys,
3569,160,1823.53174,9,only cheat,
3571,160,1856.24324,8,finish fast,
3574,160,1889.89114,9,stop cheat trool,
3577,160,1892.53344,9,ss to,
3599,163,-84.34608,2,calling emergency personnel,
3600,163,-58.61902,2,shadow fiend,
3601,163,-56.15296,2,i will burn you alive,1
3603,163,-49.15468,4,finger you to death,1
3604,163,-43.28943,2,yes with my ultimate fingering skill,1
3607,163,2040.18852,8,i did not see u finger me to death even once?,
3609,163,2054.57082,2,"sorry, was fingering your mum",1
3639,165,286.90442,2,what,
3641,165,293.36951,2,its only turbo,
3642,165,304.23352,7,IDC!,
3645,165,403.37601,7,UR HANDSOME WITH THAT ?,
3646,165,409.17459,2,why are you so pissed,
3652,165,461.62844,7,FIGHT HIM HAHA,
3656,165,574.13434,7,PROEST TA EVER,
3657,165,588.39749,2,"i'm really not, sry man",
3660,165,603.59378,7,FUCK UR REFRACT LOL,2
3663,165,646.98319,8,pro they,
3670,165,1203.64724,7,IM PASSIVBE EHHE,
3671,165,1210.04564,2,he has gone mad,
3680,166,-5.7679,2,please dont kill me,
3681,166,-5.7679,2,im kinda learning here,
3683,166,0.03334,3,script for what?,
3684,166,23.30498,3,there are scripts for enigma?,
3688,166,1449.12641,6,nice cheat,
3693,166,1546.23601,2,get a hobby or smthing,
3717,168,908.5115,4,4 bot,
3718,168,918.709,2,"damn, now they know there are 4 of them bot",
3719,168,1054.3426,8,he survived ,
3722,168,1254.627,5,what kind of vision is this ,
3724,168,1993.0847,2,they didn't wait,
3725,168,2001.5803,2,"how rude, right",
3732,169,331.919,0,miss click,
3735,169,518.6734,0,ty pudge,
3736,169,523.80545,9,4what,
3759,169,807.2029,2,reported,
3764,169,828.6643,0,suck my dick idito,1
3765,169,832.4634,0,dont follow me,
3790,170,1864.4103,4,inviz can win the game ;],
3796,172,1072.3048,4,please,
3813,173,736.45347,8,El rubick hase nice hock's,
3830,173,2474.13267,7,ff plis,
3833,173,2545.50917,7,TA plis,
3843,174,1264.35794,8,WATCH this liion,
3855,174,1638.26664,0,you guys 3 top ...but did not any use,
3856,174,1643.19874,7,they whine cuz i bought midas,
3857,174,1649.66384,8,man shut up already,
3858,174,1651.73624,8,and push,
3859,174,1651.80314,7,"well, were we able to do shit?",2
3882,177,1429.151,5,COMEND PLZ,
3891,177,1897.7287,2,and bot,
3895,177,1905.5553,5,AND JUNGLE,
3896,177,1909.5021,2,we lost all lanes,
3897,177,1910.6393,6,and roshan,
3910,178,862.35607,3,hhe,
3914,178,1581.21387,4,please wait,
3919,178,1775.84437,1,first pick,
3922,178,1839.52797,0,why am solo on top..:9,
3939,179,1602.84197,5,wtf is with taht serwer,
3953,180,367.37698,5,not at all,
3954,180,387.97198,5,at some way ill be stuck ,
3955,180,398.30278,1,its best for you to leave,
3968,181,1338.87306,8,REPORT !?? !TY,
3969,181,1494.03516,8,so reproterd TINY,
3970,181,1983.58366,3,raport this shit OMNI,1
3976,181,2456.86246,8,PLZ ALL REPORT TINY SO HE RESPECT THE RANK MATCH !! TY,0
3993,183,295.49454,2,is only game,
3996,183,376.94131,2,you guys literally have a tri top,
4000,183,407.00064,2,learn to not overextend in solo lane,
4001,183,412.33268,0,they speak taco,
4002,183,415.93178,0,They cant understand you,
4007,183,536.43568,5,please,
4009,183,538.96841,2,why,
4010,183,540.50138,0,reporting lc got it,0
4015,183,548.09952,2,with 2,
4016,183,549.36588,2,already,
4017,183,552.83168,2,you dumb and blind?,2
4019,183,557.69718,4,i mean he isnt grossly incandescent,
4020,183,565.22868,4,but that's hardly his fault,
4021,183,595.62124,2,"its pretty dumb you're complaining, you're literally doing the worst on your team and holding them back LC",2
4025,183,670.20303,2,:C,
4033,183,700.86221,5,0 in bot,
4035,183,718.59118,0,you said zero in the first statement,
4043,183,903.04618,2,LOL 0 SUNSTRIKES SHIT INVO,1
4047,183,917.44268,9,Can you guys report lc please,0
4049,183,925.50738,2,YOU GUYS MUST BE SO THANKFUL TO HAVE THIS AMAZING LC ON YOUR TEAM,
4050,183,929.70628,9,thx bru,
4052,183,940.57038,5,Reprot lc? haha,
4053,183,950.10138,9,First time playing offlane,
4062,183,1198.57398,0,Get on your own servers retard,
4064,183,1255.82668,0,at least im doing better than LC ¯\_(ツ)_/¯,
4065,183,1267.82378,2,not a difficult task,
4077,183,1398.65848,0,REPORT LC,
4079,183,1402.25758,1,We are,
4082,183,1407.18968,0,ARCANA TO EVERYONE THAT DOES,
4085,183,1415.98758,4,remember when legion died 7 times bot and then just kept dying?,
4088,183,1420.45318,3,I want me some arcana,
4090,183,1434.38308,0,sorry pa im not that rich,
4092,183,1439.91508,0,but fuck LC,1
4095,183,1535.75828,3,gg sorry about lc,
4096,183,1538.15778,5,gg this shit ,1
4112,184,2818.67137,2,please,
4124,185,-3.99902,2,strictly bussiness,
4138,185,-2.16614,0,w8 2 more sex,2
4141,185,296.6276,6,fireworks?,
4156,186,1592.19199,0,snipers don't come better than this my friends,
4176,186,1765.94959,3,COMEND MID ,
4185,188,-394.01563,2,hey,
4195,188,1586.17932,1,try hard ^^,
4197,188,1590.41162,1,so try hard,
4198,188,1594.87722,5,ez game tryhard fucker nice viper no skill hero pick,1
4213,189,3658.1232,3,what a game,
4214,189,3675.6496,4,SEE ME ROLLIN,
4219,189,3837.609,2,COMMEND ALL,
4235,191,976.69487,5,teamwipe,
4237,191,987.95877,0,am is fine,
4251,191,2139.20977,5,its a prank,
4288,192,232.70985,5,oh u really there,
4292,192,2030.76665,5,spe is so fucking over farmed,2
4303,194,1516.8296,0,TA EBAL TVOU ROT,
4308,194,2118.2348,5,fantastic feed fest,
4313,195,85.7149,5,Really,
4314,195,196.1546,5,"this is jsut stupid, im out",
4326,197,601.25321,1,5-5 only mid,
4350,199,950.93445,0,Sex,2
4427,203,-649.78896,5,IT'S REALLY HAPPENING,
4429,204,1480.5052,9,he's not invis breh,
4441,205,327.85328,3,now is gg,
4533,206,1583.8132,8,maswerte may clinckz,
4560,206,2714.089,0,Shower,
4576,207,1335.14066,7,q oferton!,
4577,207,1593.54426,9,shdow demon carry,
4583,207,1929.33836,4,pls report sd. he is a russian scim,1
4585,207,1942.24896,5,Nyestra is life,
4590,207,1975.76306,5,Ragnaros is life,
4594,207,2000.68136,6,>Game is Hard,
4597,208,132.16773,9,why even try?,
4600,208,1994.74043,9,Weaver,
4621,210,1523.52796,5,Worth ?,
4633,212,646.8463,9,baited,
4665,215,657.37283,1,basher void ,
4668,215,712.02616,4,this game is a joke,
4669,215,714.82546,4,fucking account buyer omni,1
4672,215,740.68586,4,sure but this omni,
4673,215,742.48536,4,cant buy a single ward,
4674,215,756.74856,4,every game he picks omni 5 pos,
4681,215,1463.30936,8,ty bro,
4686,215,1475.97296,4,ruins every single game hes in,
4687,215,1480.77176,8,this qop is just ruining the moment,
4689,215,1510.83106,8,he just dont realize omni is the worst 5 u can imagine(,
4690,215,1512.36406,2,what did he say?,
4691,215,1518.49586,8,nothing,
4692,215,1768.07116,4,gg this omni watches too much fucking slacks,1
4699,216,1365.96643,3,he not,
4702,216,1372.69813,3,why,
4712,216,1966.95943,8,together,
4715,216,1972.24403,9,rofl,
4717,216,1976.05703,9,they blame me,
4719,216,1979.73623,5,Read he name,
4720,216,1982.01063,9,typical sea,
4721,216,1982.94713,8,hes hero,
4723,216,1986.96083,8,win this game,
4724,216,1992.24543,5,just nothing,
4725,216,1992.31243,8,but he braindead,
4727,216,2004.88863,9,he braindead?,
4728,216,2009.37043,9,rip english,
4729,216,2010.17323,5,3-8 and 6-9,
4989,226,838.22864,6,2 piece of shit,1
5009,226,2259.90264,2,rofl,
5050,227,1384.9951,1,worth?,
5054,227,1435.1162,1,worth?,
5060,227,1443.9141,1,easy,
5069,227,1460.3101,1,getting destroyed by herald axe,
5075,227,1482.3047,2,worth?,
5077,227,1487.7367,4,worth?,
5080,227,1495.8681,4,losing to herald bro,
5081,227,1496.3346,0,then what r u jug,
5090,227,1564.3847,1,say that when u win,
5092,227,1577.0483,6,just wait bitch,1
5098,227,1661.8777,0,why blink in to fee,
5103,227,1747.8037,0,jugg so scary,
5105,227,1769.3438,0,u started it pudge,
5119,227,1866.4078,0,where u,
5123,227,1875.3716,6,really,
5139,227,1919.7896,5,dont know how to play your hero am ,
5142,227,1930.0913,0,what happened to your mid?,
5143,227,1933.3691,0,why make am so fat,
5148,227,1949.6914,0,come suck my dick,1
5154,227,1970.7631,9,why run?,
5180,227,2058.6961,4,at least got money to buy,
5181,227,2059.4319,0,i rich what,
5183,227,2061.8401,0,how bout u,
5200,227,2089.0996,0,thanks poor fagot,1
5221,227,2210.8811,0,radian victory,
5238,229,928.40663,9,get off my dick pudge,1
5240,229,951.60103,9,u lost 2 towers 2 kill me,
5241,229,954.80023,9,morons,1
5247,229,2036.48763,9,rough game,
5262,232,1382.59574,5,bots play better u know,
5274,233,3011.24157,1,Gg east,
5298,234,372.70902,0,"insert coin, game over",
5339,234,734.62065,7,Currently In-GameDota 2Join Game,
5397,235,561.43993,5,Dont attack my twrs pls,
5403,235,1355.54596,5,solo carry team,
5404,235,1566.49446,5,Best team,
5407,235,1574.49256,6,and play,
5414,235,1613.68296,5,they farm all day,
5415,235,1619.08166,5,buy retard items  i cant blieve,1
5417,235,1620.88116,5,0 teamplay,
5424,235,1636.61076,5,"Enjoy ur loss u fuc,kijng garbage piece of shit",1
5426,235,1639.07676,5,6 death,
5427,235,1641.07626,5,9 death,
5428,235,1645.94176,5,in a game i carry 10-0,
5429,235,1647.40806,6,he can dmg,
5436,235,1658.20546,5,TO FARM MORE,
